pick,nominator,player,drafted_by,price,position
1,Bill,Anthony Richardson,Daniel,38,QB
2,Bryan,Josh Allen,Grossman,55,QB
3,Daniel,Jalen Hurts,Daniel,54,QB
4,Grossman,Christian McCaffrey,Jack,47,RB
5,Nate,Lamar Jackson,Grossman,46,QB
6,Mario,CeeDee Lamb,Justin,41,WR
7,Gabes,Jonathan Taylor,Bill,40,RB
8,Jack,Jahmyr Gibbs,Mario,34,RB
9,Justin,C.J. Stroud,Bill,35,QB
10,Bolek,Derrick Henry,Nate,37,RB
11,Bolek,Puka Nacua,Justin,29,WR
12,Justin,Tyreek Hill,Gabes,40,WR
13,Jack,Breece Hall,Jack,45,RB
14,Gabes,Ja'Marr Chase,Bill,39,WR
15,Mario,Patrick Mahomes II,Bolek,50,QB
16,Nate,Joe Burrow,Bryan,32,QB
17,Grossman,Kyler Murray,Gabes,38,QB
18,Daniel,Jordan Love,Nate,33,QB
19,Bryan,Bijan Robinson,Mario,48,RB
20,Bill,Saquon Barkley,Justin,37,RB
21,Bill,Kyren Williams,Mario,35,RB
22,Bryan,Justin Jefferson,Gabes,34,WR
23,Daniel,A.J. Brown,Jack,33,WR
24,Grossman,Garrett Wilson,Daniel,28,WR
25,Nate,De'Von Achane,Bryan,26,RB
26,Mario,Amon-Ra St. Brown,Nate,35,WR
27,Gabes,Chris Olave,Mario,26,WR
28,Jack,Mike Evans,Grossman,20,WR
29,Justin,Trevor Lawrence,Justin,22,QB
30,Bolek,Dak Prescott,Bryan,21,QB
31,Bolek,Kenneth Walker III,Bryan,20,RB
32,Justin,Travis Etienne Jr.,Nate,33,RB
33,Jack,Josh Jacobs,Bolek,28,RB
34,Gabes,Travis Kelce,Justin,19,TE
35,Mario,Isiah Pacheco,Nate,31,RB
36,Nate,Rachaad White,Daniel,24,RB
37,Grossman,Jayden Daniels,Justin,21,QB
38,Daniel,Sam LaPorta,Daniel,21,TE
39,Bryan,Jared Goff,Mario,19,QB
40,Bill,Deebo Samuel Sr.,Bill,23,WR
41,Bill,Joe Mixon,Gabes,18,RB
42,Bryan,Brock Purdy,Bolek,19,QB
43,Daniel,Marvin Harrison Jr.,Grossman,20,WR
44,Grossman,DJ Moore,Jack,19,WR
45,Nate,Drake London,Grossman,19,WR
46,Mario,Raheem Mostert,Bryan,17,RB
47,Gabes,Jaylen Waddle,Jack,15,WR
48,Jack,Aaron Jones,Bryan,15,RB
49,Justin,Nico Collins,Nate,18,WR
50,Bolek,Brandon Aiyuk,Gabes,15,WR
51,Bolek,Tua Tagovailoa,Mario,15,QB
52,Justin,Cooper Kupp,Bolek,18,WR
53,Jack,James Cook,Daniel,21,RB
54,Gabes,DeVonta Smith,Bill,13,WR
55,Mario,James Conner,Grossman,13,RB
56,Nate,Davante Adams,Mario,14,WR
57,Grossman,D'Andre Swift,Justin,14,RB
58,Daniel,Rhamondre Stevenson,Gabes,7,RB
59,Bryan,Caleb Williams,Jack,22,QB
60,Bill,DK Metcalf,Bryan,10,WR
61,Bill,Trey McBride,Gabes,11,TE
62,Bryan,Justin Herbert,Gabes,15,QB
63,Daniel,Mark Andrews,Bryan,7,TE
64,Grossman,David Montgomery,Bolek,10,RB
65,Nate,Malik Nabers,Gabes,10,WR
66,Mario,Zamir White,Grossman,7,RB
67,Gabes,Stefon Diggs,Bolek,9,WR
68,Jack,Tee Higgins,Bryan,7,WR
69,Justin,Dalton Kincaid,Bill,13,TE
70,Bolek,Alvin Kamara,Bolek,8,RB
71,Bolek,Terry McLaurin,Bolek,4,WR
72,Justin,Michael Pittman Jr.,Bolek,9,WR
73,Jack,George Pickens,Bryan,5,WR
74,Gabes,Deshaun Watson,Gabes,1,QB
75,Mario,Will Levis,Jack,3,QB
76,Nate,Kyle Pitts,Bryan,7,TE
77,Grossman,Aaron Rodgers,Bill,5,QB
78,Daniel,Khalil Shakir,Grossman,2,WR
79,Bryan,Matthew Stafford,Bryan,7,QB
80,Bill,Keenan Allen,Jack,3,WR
81,Bill,Kirk Cousins,Bryan,11,QB
82,Bryan,Amari Cooper,Bolek,4,WR
83,Daniel,Rome Odunze,Gabes,2,WR
84,Grossman,Nick Chubb,Bryan,4,RB
85,Nate,Baker Mayfield,Jack,5,QB
86,Mario,Javonte Williams,Bolek,6,RB
87,Gabes,George Kittle,Grossman,9,TE
88,Jack,Najee Harris,Bill,2,RB
89,Justin,Rashee Rice,Bill,3,WR
90,Bolek,Geno Smith,Bolek,4,QB
91,Bolek,Christian Kirk,Bolek,11,WR
92,Justin,Ezekiel Elliott,Justin,1,RB
93,Jack,Jonathon Brooks,Justin,3,RB
94,Gabes,Zack Moss,Bolek,3,RB
95,Mario,Tank Dell,Bryan,8,WR
96,Nate,Brian Robinson Jr.,Bill,5,RB
97,Grossman,Zay Flowers,Justin,4,WR
98,Daniel,Blake Corum,Daniel,3,RB
99,Bryan,Calvin Ridley,Bill,4,WR
100,Bill,Jayden Reed,Bill,3,WR
101,Bill,Gus Edwards,Bill,5,RB
102,Bryan,Hollywood Brown,Bryan,1,WR
103,Daniel,Tony Pollard,Gabes,2,RB
104,Grossman,Devin Singletary,Grossman,3,RB
105,Nate,Tyjae Spears,Bill,3,RB
106,Mario,Daniel Jones,Bill,2,QB
107,Gabes,Jaylen Warren,Gabes,4,RB
108,Jack,Jordan Addison,Jack,1,WR
109,Justin,Chase Brown,Justin,4,RB
110,Bolek,Jake Ferguson,Bolek,7,TE
111,Bolek,Chicago Bears,Bolek,10,DST
112,Justin,Russell Wilson,Justin,1,QB
113,Jack,David Njoku,Jack,1,TE
114,Gabes,Ladd McConkey,Gabes,1,WR
115,Mario,Joshua Palmer,Nate,2,WR
116,Nate,Bryce Young,Nate,2,QB
117,Grossman,Bo Nix,Grossman,1,QB
118,Daniel,Christian Watson,Daniel,1,WR
119,Bill,Kansas City Chiefs,Bill,5,DST
120,Daniel,Chris Godwin,Daniel,1,WR
121,Grossman,Courtland Sutton,Grossman,1,WR
122,Nate,Xavier Worthy,Nate,2,WR
123,Mario,Evan Engram,Mario,1,TE
124,Gabes,Jerome Ford,Daniel,2,RB
125,Jack,Baltimore Ravens,Jack,1,DST
126,Justin,Brian Thomas Jr.,Justin,1,WR
127,Justin,Austin Ekeler,Justin,1,RB
128,Jack,J.K. Dobbins,Daniel,2,RB
129,Gabes,Trey Benson,Gabes,1,RB
130,Mario,Diontae Johnson,Mario,1,WR
131,Nate,Brock Bowers,Nate,1,TE
132,Grossman,Rico Dowdle,Grossman,1,RB
133,Daniel,Zach Charbonnet,Daniel,1,RB
134,Daniel,Jaleel McLaughlin,Daniel,1,RB
135,Grossman,Cole Kmet,Grossman,1,TE
136,Nate,Justin Fields,Nate,1,QB
137,Mario,Curtis Samuel,Mario,1,WR
138,Gabes,MarShawn Lloyd,Gabes,1,RB
139,Jack,Tyler Allgeier,Jack,1,RB
140,Justin,Jaxon Smith-Njigba,Justin,1,WR
141,Justin,Pittsburgh Steelers,Justin,1,DST
142,Jack,Ty Chandler,Jack,1,RB
143,Mario,Braelon Allen,Mario,1,RB
144,Nate,New York Jets,Nate,1,DST
145,Grossman,Keon Coleman,Grossman,1,WR
146,Daniel,Chuba Hubbard,Daniel,1,RB
147,Daniel,Khalil Herbert,Daniel,1,RB
148,Grossman,Sam Darnold,Grossman,1,QB
149,Nate,Derek Carr,Nate,1,QB
150,Mario,DeAndre Hopkins,Mario,1,WR
151,Jack,Jameson Williams,Jack,1,WR
152,Jack,Dallas Goedert,Jack,1,TE
153,Nate,Tyler Lockett,Nate,1,WR
154,Daniel,San Francisco 49ers,Daniel,1,DST
155,Nate,Jaylen Wright,Nate,1,RB
156,Gabes,Rashid Shaheed,Nate,1,WR
157,Mario,Romeo Doubs,Mario,1,WR
158,Mario,Ja'Lynn Polk,Mario,1,WR
159,Mario,Justice Hill,Mario,1,RB
160,Mario,Brandin Cooks,Mario,1,WR
