year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2025,1,Gabes,Caleb Williams,,Gabes,20,QB,,
2025,2,Grossman,Lamar Jackson,,Grossman,46,QB,,
2025,3,Bolek,David Montgomery,,Bolek,10,RB,,
2025,4,Bill,Ja'Marr Chase,,Justin,44,WR,,
2025,5,Daniel,Bo Nix,,Bill,31,QB,,
2025,6,Nate,Josh Allen,,Grossman,51,QB,,
2025,7,Mario,Jayden Daniels,,Daniel,42,QB,,
2025,8,Jack,Christian McCaffrey,,Mario,39,RB,,
2025,9,Bryan,Bijan Robinson,,Justin,46,RB,,
2025,10,Justin,Joe Burrow,,Bill,34,QB,,
2025,11,Justin,Justin Jefferson,,Bryan,39,WR,,
2025,12,Bryan,Saquon Barkley,,Bryan,40,RB,,
2025,13,Jack,A.J. Brown,,Bryan,25,WR,,
2025,14,Mario,Jalen Hurts,,Bryan,42,QB,,
2025,15,Nate,Ashton Jeanty,,Justin,34,RB,,
2025,16,Daniel,Jahmyr Gibbs,,Bryan,42,RB,,
2025,17,Bill,Derrick Henry,,Nate,44,RB,,
2025,18,Bolek,De'Von Achane,,Jack,25,RB,,
2025,19,Grossman,Tony Pollard,,Grossman,11,RB,,
2025,20,Gabes,J.J. McCarthy,,Jack,13,QB,,
2025,21,Gabes,CeeDee Lamb,,Gabes,35,WR,,
2025,22,Grossman,Patrick Mahomes II,,Jack,34,QB,,
2025,23,Bolek,Bucky Irving,,Nate,31,RB,,
2025,24,Bill,Baker Mayfield,,Gabes,20,QB,,
2025,25,Daniel,Drake London,,Bill,25,WR,,
2025,26,Nate,Puka Nacua,,Bill,24,WR,,
2025,27,Mario,Amon-Ra St. Brown,,Jack,31,WR,,
2025,28,Jack,Kyler Murray,,Bolek,25,QB,,
2025,29,Bryan,Malik Nabers,,Gabes,27,WR,,
2025,30,Justin,Dak Prescott,,Mario,21,QB,,
2025,31,Justin,Brock Purdy,,Justin,21,QB,,
2025,32,Bryan,Nico Collins,,Nate,35,WR,,
2025,33,Jack,Garrett Wilson,,Jack,14,WR,,
2025,34,Mario,Justin Fields,,Daniel,14,QB,,
2025,35,Nate,Brock Bowers,,Daniel,22,TE,,
2025,36,Daniel,George Kittle,,Jack,13,TE,,
2025,37,Bill,Brian Thomas Jr.,,Nate,30,WR,,
2025,38,Bolek,Matthew Stafford,,Jack,3,QB,,
2025,39,Grossman,Ladd McConkey,,Grossman,21,WR,,
2025,40,Gabes,Trey McBride,,Bill,12,TE,,
2025,41,Gabes,Jonathan Taylor,,Mario,35,RB,,
2025,42,Grossman,Terry McLaurin,,Bolek,12,WR,,
2025,43,Bolek,Breece Hall,,Bolek,17,RB,,
2025,44,Bill,Jaxon Smith-Njigba,,Mario,17,WR,,
2025,45,Daniel,Tee Higgins,,Bill,16,WR,,
2025,46,Nate,Tyreek Hill,,Bolek,26,WR,,
2025,47,Mario,Justin Herbert,,Mario,11,QB,,
2025,48,Jack,Josh Jacobs,,Bolek,27,RB,,
2025,49,Bryan,Omarion Hampton,,Bill,28,RB,,
2025,50,Justin,Chase Brown,,Daniel,28,RB,,
2025,51,Justin,DeVonta Smith,,Jack,9,WR,,
2025,52,Bryan,Kyren Williams,,Nate,34,RB,,
2025,53,Jack,Mike Evans,,Grossman,14,WR,,
2025,54,Mario,James Cook,,Gabes,27,RB,,
2025,55,Nate,Alvin Kamara,,Jack,20,RB,,
2025,56,Daniel,Kenneth Walker III,,Mario,24,RB,,
2025,57,Bill,Marvin Harrison Jr.,,Bolek,22,WR,,
2025,58,Bolek,Jordan Love,,Mario,16,QB,,
2025,59,Grossman,Joe Mixon,,Bill,6,RB,,
2025,60,Gabes,Jared Goff,,Nate,6,QB,,
2025,61,Gabes,Sam LaPorta,,Bolek,6,TE,,
2025,62,Grossman,Cam Ward,,Jack,5,QB,,
2025,63,Bolek,Courtland Sutton,,Bolek,11,WR,,
2025,64,Bill,DJ Moore,,Gabes,11,WR,,
2025,65,Daniel,Isiah Pacheco,,Daniel,11,RB,,
2025,66,Nate,Davante Adams,,Grossman,11,WR,,
2025,67,Mario,Drake Maye,,Gabes,12,QB,,
2025,68,Jack,DK Metcalf,,Mario,8,WR,,
2025,69,Bryan,TreVeyon Henderson,,Grossman,17,RB,,
2025,70,Justin,C.J. Stroud,,Justin,12,QB,,
2025,71,Justin,Trevor Lawrence,,Bolek,14,QB,,
2025,72,Bryan,Tetairoa McMillan,,Daniel,9,WR,,
2025,73,Jack,Xavier Worthy,,Grossman,9,WR,,
2025,74,Mario,Chuba Hubbard,,Daniel,15,RB,,
2025,75,Nate,James Conner,,Bill,13,RB,,
2025,76,Daniel,Aaron Jones Sr.,,Grossman,9,RB,,
2025,77,Bill,Travis Hunter,,Gabes,4,WR,,
2025,78,Bolek,D'Andre Swift,,Daniel,17,RB,,
2025,79,Grossman,Rome Odunze,,Daniel,5,WR,,
2025,80,Gabes,Michael Penix Jr.,,Nate,4,QB,,
2025,81,Gabes,T.J. Hockenson,,Mario,3,TE,,
2025,82,Grossman,Tua Tagovailoa,,Justin,5,QB,,
2025,83,Bolek,Chris Olave,,Bolek,6,WR,,
2025,84,Bill,RJ Harvey,,Bolek,6,RB,,
2025,85,Daniel,Jaylen Waddle,,Justin,6,WR,,
2025,86,Nate,Jameson Williams,,Daniel,6,WR,,
2025,87,Mario,Stefon Diggs,,Gabes,4,WR,,
2025,88,Jack,Jerry Jeudy,,Nate,5,WR,,
2025,89,Bryan,Philadelphia Eagles,,Bolek,1,DEF,,
2025,90,Justin,Calvin Ridley,,Justin,8,WR,,
2025,91,Justin,George Pickens,,Justin,7,WR,,
2025,92,Bryan,Rashee Rice,,Jack,10,WR,,
2025,93,Jack,Tyrone Tracy Jr.,,Justin,6,RB,,
2025,94,Mario,Jordan Mason,,Gabes,5,RB,,
