year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2021,1,Jon,Christian McCaffrey,3,Bryan,66,RB,110,1.6666666666666667
2021,2,Mario,Ezekiel Elliott,1,Bill,54,RB,228.06,4.223333333333334
2021,3,Jack,Alvin Kamara,5,Eric + Mark,64,RB,200.5,3.1328125
2021,4,Justin,Tyreek Hill,6,Jack,44,WR,225.8,5.131818181818182
2021,5,Bill,Patrick Mahomes,5,Eric + Mark,21,QB,358.46,17.069523809523808
2021,6,Grossman,Derrick Henry,7,Jon,58,RB,208.3,3.591379310344828
2021,7,Bryan,Dalvin Cook,2,Brian,62,RB,202.6,3.267741935483871
2021,8,Nate,Saquon Barkley,3,Bryan,49,RB,122.2,2.4938775510204083
2021,9,Brian,Calvin Ridley,1,Bill,38,WR,47.1,1.2394736842105263
2021,10,Daniel,Nick Chubb,4,Daniel,55,RB,228.3,4.150909090909091
2021,11,Daniel,Aaron Jones,10,Nate,56,RB,203.5,3.6339285714285716
2021,12,Brian,Travis Kelce,8,Justin,39,TE,195.4,5.01025641025641
2021,13,Nate,Jonathan Taylor,10,Nate,48,RB,393.1,8.189583333333333
2021,14,Bryan,Antonio Gibson,6,Jack,47,RB,199,4.23404255319149
2021,15,Grossman,Davante Adams,2,Brian,47,WR,268.3,5.708510638297873
2021,16,Bill,Darren Waller,4,Daniel,25,TE,94.3,3.772
2021,17,Justin,Stefon Diggs,4,Daniel,43,WR,197.9,4.602325581395349
2021,18,Jack,DK Metcalf,9,Mario,38,WR,183,4.815789473684211
2021,19,Mario,David Montgomery,8,Justin,30,RB,179.6,5.986666666666666
2021,20,Jon,Joe Mixon,3,Bryan,33,RB,279.9,8.48181818181818
2021,21,Jon,Chris Carson,7,Jon,31,RB,46.6,1.5032258064516129
2021,22,Mario,Clyde Edwards-Helaire,8,Justin,34,RB,114.1,3.355882352941176
2021,23,Jack,Mike Evans,6,Jack,22,WR,191.6,8.709090909090909
2021,24,Justin,Austin Ekeler,8,Justin,46,RB,281.9,6.128260869565217
2021,25,Bill,Justin Jefferson,10,Nate,34,WR,248.8,7.31764705882353
2021,26,Grossman,DeAndre Hopkins,9,Mario,38,WR,117.2,3.0842105263157897
2021,27,Bryan,Najee Harris,10,Nate,49,RB,264.7,5.40204081632653
2021,28,Nate,A.J. Brown,8,Justin,33,WR,130.1,3.9424242424242424
2021,29,Brian,Miles Sanders,1,Bill,25,RB,114.7,4.588
2021,30,Daniel,Terry McLaurin,9,Mario,33,WR,154.7,4.6878787878787875
2021,31,Daniel,Keenan Allen,3,Bryan,29,WR,183.1,6.313793103448275
2021,32,Brian,Allen Robinson,6,Jack,29,WR,54.8,1.889655172413793
2021,33,Nate,CeeDee Lamb,2,Brian,31,WR,180.3,5.816129032258065
2021,34,Bryan,George Kittle,5,Eric + Mark,25,TE,150,6
2021,35,Grossman,Josh Allen,4,Daniel,22,QB,415.22,18.873636363636365
2021,36,Bill,Kyler Murray,2,Brian,18,QB,299.88,16.66
2021,37,Justin,Lamar Jackson,1,Bill,17,QB,271.98,15.998823529411766
2021,38,Jack,Robert Woods,5,Eric + Mark,21,WR,109.2,5.2
2021,39,Mario,Julio Jones,2,Brian,17,WR,47.1,2.7705882352941176
2021,40,Jon,Adam Thielen,7,Jon,21,WR,148.3,7.061904761904763
2021,41,Jon,Tyler Lockett,5,Eric + Mark,18,WR,171.4,9.522222222222222
2021,42,Mario,Chris Godwin,7,Jon,16,WR,180.9,11.30625
2021,43,Jack,Mark Andrews,6,Jack,15,TE,227.1,15.139999999999999
2021,44,Justin,Josh Jacobs,4,Daniel,20,RB,175.1,8.754999999999999
2021,45,Bill,Cooper Kupp,1,Bill,14,WR,329.4,23.52857142857143
2021,46,Grossman,James Robinson,9,Mario,23,RB,165.9,7.21304347826087
2021,47,Bryan,D'Andre Swift,6,Jack,25,RB,159.3,6.372000000000001
2021,48,Nate,Dak Prescott,6,Jack,7,QB,304.76,43.537142857142854
2021,49,Brian,Kyle Pitts,7,Jon,10,TE,134.8,13.48
2021,50,Daniel,Chase Claypool,1,Bill,9,WR,115.1,12.788888888888888
2021,51,Daniel,Amari Cooper,5,Eric + Mark,18,WR,147.6,8.2
2021,52,Brian,Aaron Rodgers,7,Jon,5,QB,329.58,65.916
2021,53,Nate,DJ Moore,7,Jon,11,WR,168.5,15.318181818181818
2021,54,Bryan,Darrell Henderson,9,Mario,11,RB,153.9,13.990909090909092
2021,55,Grossman,Tee Higgins,1,Bill,7,WR,176.6,25.228571428571428
2021,56,Bill,Myles Gaskin,7,Jon,17,RB,138.6,8.152941176470588
2021,57,Justin,Diontae Johnson,4,Daniel,14,WR,193.3,13.807142857142859
2021,58,Jack,Tampa Bay Buccaneers,10,Nate,2,DST,59,29.5
2021,59,Mario,T.J. Hockenson,9,Mario,10,TE,98.3,9.83
2021,60,Jon,Odell Beckham,3,Bryan,8,WR,93.8,11.725
2021,61,Jon,Tom Brady,7,Jon,2,QB,375.7,187.85
2021,62,Mario,Mike Davis,9,Mario,8,RB,109.4,13.675
2021,63,Jack,Jaylen Waddle,7,Jon,3,WR,161.1,53.699999999999996
2021,64,Justin,Kenny Golladay,3,Bryan,5,WR,64.9,12.98
2021,65,Bill,Damien Harris,1,Bill,9,RB,208.3,23.144444444444446
2021,66,Grossman,JuJu Smith-Schuster,6,Jack,2,WR,22.8,11.4
2021,67,Bryan,Kareem Hunt,7,Jon,8,RB,101.5,12.6875
2021,68,Nate,Justin Herbert,7,Jon,4,QB,378.84,94.71
2021,69,Brian,Chase Edmonds,5,Eric + Mark,10,RB,123.3,12.33
2021,70,Daniel,Gus Edwards,9,Mario,18,RB,0,0
