year,city,state,country
2010,Deerfield,IL,United States
2011,Deerfield,IL,United States
2012,Deerfield,IL,United States
2013,Deerfield,IL,United States
2014,Deerfield,IL,United States
2015,Madison,WI,United States
2016,Chicago,IL,United States
2017,Denver,CO,United States
2018,Chicago,IL,United States
2019,Las Vegas,NV,United States
2020,Chicago,IL,United States
2021,Denver,CO,United States
2022,Minneapolis,NM,United States
2023,Nashville,TN,United States
2024,Las Vegas,NV,United States
2025,Scottsdale,AZ,United States
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
