year,player_id,player_name,LOOKUP Column,position,nfl_team,weeks_played,total_fantasy_points,avg_points_per_game
2020,4984,Josh Allen,2020Josh Allen,QB,BUF,16,430.06,26.88
2020,5849,Kyler Murray,2020Kyler Murray,QB,ARI,16,408.24,25.52
2020,4046,Patrick Mahomes,2020Patrick Mahomes,QB,KC,16,405.9,25.37
2020,4017,Deshaun Watson,2020Deshaun Watson,QB,CLE,16,403.32,25.21
2020,96,Aaron Rodgers,2020Aaron Rodgers,QB,PIT,16,397.26,24.83
2020,3198,Derrick Henry,2020Derrick Henry,RB,BAL,16,382.6,23.91
2020,1234,Russell Wilson,2020Russell Wilson,QB,NYG,16,380.28,23.77
2020,4881,Lamar Jackson,2020Lamar Jackson,QB,BAL,15,360.28,24.02
2020,4029,Dalvin Cook,2020Dalvin Cook,RB,,16,357.3,22.33
2020,1049,Ryan Tannehill,2020Ryan Tannehill,QB,,16,356.86,22.3
2020,6797,Justin Herbert,2020Justin Herbert,QB,LAC,16,356.34,22.27
2020,167,Tom Brady,2020Tom Brady,QB,,16,351.42,21.96
2020,4035,Alvin Kamara,2020Alvin Kamara,RB,NO,15,334.8,22.32
2020,1166,Kirk Cousins,2020Kirk Cousins,QB,ATL,16,324.7,20.29
2020,24,Matt Ryan,2020Matt Ryan,QB,,16,297.44,18.59
2020,2028,Derek Carr,2020Derek Carr,QB,,16,288.62,18.04
2020,2133,Davante Adams,2020Davante Adams,WR,LAR,16,284.9,17.81
2020,954,Cam Newton,2020Cam Newton,QB,,15,283.98,18.93
2020,138,Ben Roethlisberger,2020Ben Roethlisberger,QB,PIT,16,277.72,17.36
2020,3321,Tyreek Hill,2020Tyreek Hill,WR,MIA,16,272.4,17.02
2020,421,Matthew Stafford,2020Matthew Stafford,QB,LAR,16,271.56,16.97
2020,4892,Baker Mayfield,2020Baker Mayfield,QB,TB,16,259.62,16.23
2020,6813,Jonathan Taylor,2020Jonathan Taylor,RB,IND,15,259.3,17.29
2020,3163,Jared Goff,2020Jared Goff,QB,DET,16,254.98,15.94
2020,5892,David Montgomery,2020David Montgomery,RB,DET,16,253.8,15.86
2020,1466,Travis Kelce,2020Travis Kelce,TE,KC,16,253.76,15.86
2020,2152,Teddy Bridgewater,2020Teddy Bridgewater,QB,TB,16,253.72,15.86
2020,2449,Stefon Diggs,2020Stefon Diggs,WR,NE,16,248.6,15.54
2020,4199,Aaron Jones,2020Aaron Jones,RB,MIN,16,245.9,15.37
2020,331,Philip Rivers,2020Philip Rivers,QB,,16,244.96,15.31
2020,6955,James Robinson,2020James Robinson,RB,,16,238.9,14.93
2020,4981,Calvin Ridley,2020Calvin Ridley,WR,TEN,16,236,14.75
2020,5850,Josh Jacobs,2020Josh Jacobs,RB,GB,16,231.8,14.49
2020,4988,Nick Chubb,2020Nick Chubb,RB,HOU,12,228.7,19.06
2020,6794,Justin Jefferson,2020Justin Jefferson,WR,MIN,16,225.7,14.11
2020,5846,DK Metcalf,2020DK Metcalf,WR,PIT,16,224.8,14.05
2020,1426,DeAndre Hopkins,2020DeAndre Hopkins,WR,BAL,16,221.3,13.83
2020,289,Drew Brees,2020Drew Brees,QB,,12,216.48,18.04
2020,2505,Darren Waller,2020Darren Waller,TE,MIA,16,213.6,13.35
2020,3164,Ezekiel Elliott,2020Ezekiel Elliott,RB,,16,212.7,13.29
2020,3161,Carson Wentz,2020Carson Wentz,QB,MIN,16,209.4,13.09
2020,4098,Kareem Hunt,2020Kareem Hunt,RB,KC,16,208.5,13.03
2020,2216,Mike Evans,2020Mike Evans,WR,TB,16,207.6,12.97
2020,1689,Adam Thielen,2020Adam Thielen,WR,MIN,15,205,13.67
2020,5859,A.J. Brown,2020A.J. Brown,WR,PHI,16,201,12.56
2020,1992,Allen Robinson,2020Allen Robinson,WR,,16,199.9,12.49
2020,3242,Kenyan Drake,2020Kenyan Drake,RB,,16,198.2,12.39
2020,2374,Tyler Lockett,2020Tyler Lockett,WR,LV,16,194.9,12.18
2020,2320,Melvin Gordon,2020Melvin Gordon,RB,,16,191.9,11.99
2020,6770,Joe Burrow,2020Joe Burrow,QB,CIN,10,191.22,19.12
2020,5854,Drew Lock,2020Drew Lock,QB,SEA,15,189.32,12.62
2020,6945,Antonio Gibson,2020Antonio Gibson,RB,NE,16,189.2,11.82
2020,5870,Daniel Jones,2020Daniel Jones,QB,IND,16,188.02,11.75
2020,5052,Ronald Jones,2020Ronald Jones,RB,,14,187.3,13.38
2020,1352,Robert Woods,2020Robert Woods,WR,,16,182.6,11.41
2020,1479,Keenan Allen,2020Keenan Allen,WR,LAC,15,179.6,11.97
2020,2197,Brandin Cooks,2020Brandin Cooks,WR,NO,16,179.5,11.22
2020,1067,Marvin Jones,2020Marvin Jones,WR,,16,179.3,11.21
2020,4983,DJ Moore,2020DJ Moore,WR,CHI,15,178.5,11.9
2020,2309,Amari Cooper,2020Amari Cooper,WR,,16,177.8,11.11
2020,4273,Chris Carson,2020Chris Carson,RB,,16,174.8,10.93
2020,6886,Chase Claypool,2020Chase Claypool,WR,,16,173.9,10.87
2020,2391,David Johnson,2020David Johnson,RB,,12,173.5,14.46
2020,2431,Mike Davis,2020Mike Davis,RB,,16,171,10.69
2020,6806,J.K. Dobbins,2020J.K. Dobbins,RB,DEN,15,171,11.4
2020,6011,Gardner Minshew,2020Gardner Minshew,QB,KC,16,170.16,10.63
2020,5119,Jason Sanders,2020Jason Sanders,K,MIA,16,169,10.56
2020,5927,Terry McLaurin,2020Terry McLaurin,WR,WAS,16,167.3,10.46
2020,6820,Clyde Edwards-Helaire,2020Clyde Edwards-Helaire,RB,KC,16,167,10.44
2020,6151,Miles Sanders,2020Miles Sanders,RB,DAL,16,166.4,10.4
2020,6790,D'Andre Swift,2020D'Andre Swift,RB,CHI,16,164.3,10.27
2020,333,Ryan Fitzpatrick,2020Ryan Fitzpatrick,QB,,15,163.74,10.92
2020,6786,CeeDee Lamb,2020CeeDee Lamb,WR,DAL,16,163.7,10.23
2020,4381,Taysom Hill,2020Taysom Hill,TE,NO,16,163.12,10.2
2020,4082,Curtis Samuel,2020Curtis Samuel,WR,BUF,16,163.1,10.19
2020,4666,Younghoe Koo,2020Younghoe Koo,K,NYG,16,163,10.19
2020,2315,Todd Gurley,2020Todd Gurley,RB,,16,161.7,10.11
2020,3157,William Fuller,2020William Fuller,WR,,11,160.9,14.63
2020,1144,Cole Beasley,2020Cole Beasley,WR,,16,160,10
2020,3976,Mitchell Trubisky,2020Mitchell Trubisky,QB,BUF,15,159.3,10.62
2020,3423,Robbie Chosen,2020Robbie Chosen,WR,WAS,16,158.6,9.91
2020,4137,James Conner,2020James Conner,RB,ARI,14,158.6,11.33
2020,4036,Corey Davis,2020Corey Davis,WR,,14,158.4,11.31
2020,2325,Nelson Agholor,2020Nelson Agholor,WR,,16,158.1,9.88
2020,5937,Diontae Johnson,2020Diontae Johnson,WR,,16,156.8,9.8
2020,4040,JuJu Smith-Schuster,2020JuJu Smith-Schuster,WR,KC,16,156.6,9.79
2020,6801,Tee Higgins,2020Tee Higgins,WR,CIN,16,155.1,9.69
2020,5095,Daniel Carlson,2020Daniel Carlson,K,LV,16,151,9.44
2020,5347,Nyheim Hines,2020Nyheim Hines,RB,LAC,16,150.7,9.42
2020,7042,Tyler Bass,2020Tyler Bass,K,BUF,16,149,9.31
2020,3294,Dak Prescott,2020Dak Prescott,QB,DAL,5,148.14,29.63
2020,5284,Jeff Wilson,2020Jeff Wilson,RB,MIA,13,147.8,11.37
2020,6803,Brandon Aiyuk,2020Brandon Aiyuk,WR,SF,14,147.5,10.54
2020,4037,Chris Godwin,2020Chris Godwin,WR,TB,16,146,9.12
2020,4039,Cooper Kupp,2020Cooper Kupp,WR,SEA,15,145.2,9.68
2020,6768,Tua Tagovailoa,2020Tua Tagovailoa,QB,MIA,16,143.46,8.97
2020,7062,Rodrigo Blankenship,2020Rodrigo Blankenship,K,,16,143,8.94
2020,1266,Greg Zuerlein,2020Greg Zuerlein,K,,16,143,8.94
2020,5248,Gus Edwards,2020Gus Edwards,RB,,16,142.7,8.92
2020,829,Andy Dalton,2020Andy Dalton,QB,CAR,15,142.36,9.49
2020,1264,Justin Tucker,2020Justin Tucker,K,,16,141,8.81
2020,5848,Marquise Brown,2020Marquise Brown,WR,KC,16,140.5,8.78
2020,5980,Myles Gaskin,2020Myles Gaskin,RB,SEA,10,140.2,14.02
2020,1825,Jarvis Landry,2020Jarvis Landry,WR,,15,139.96,9.33
2020,3664,J.D. McKissic,2020J.D. McKissic,RB,,16,138.4,8.65
2020,3225,Tyler Boyd,2020Tyler Boyd,WR,,16,138.14,8.63
2020,5038,Michael Gallup,2020Michael Gallup,WR,,16,137.8,8.61
2020,4943,Sam Darnold,2020Sam Darnold,QB,SEA,16,137.52,8.6
2020,5916,Darrell Henderson,2020Darrell Henderson,RB,,15,137.3,9.15
2020,391,Ryan Succop,2020Ryan Succop,K,,16,137,8.56
2020,2020,Cairo Santos,2020Cairo Santos,K,CHI,16,136,8.5
2020,4602,Robert Tonyan,2020Robert Tonyan,TE,KC,16,135.6,8.47
2020,4150,Wayne Gallman,2020Wayne Gallman,RB,,16,135.6,8.47
2020,1476,Latavius Murray,2020Latavius Murray,RB,,15,134.7,8.98
2020,5110,Russell Gage,2020Russell Gage,WR,SF,16,134.56,8.41
2020,2747,Jason Myers,2020Jason Myers,K,SEA,16,134,8.38
2020,5000,Chase Edmonds,2020Chase Edmonds,RB,WAS,16,134,8.38
2020,4663,Austin Ekeler,2020Austin Ekeler,RB,WAS,10,132.8,13.28
2020,2410,Jamison Crowder,2020Jamison Crowder,WR,,16,132.52,8.28
2020,503,Graham Gano,2020Graham Gano,K,NYG,16,130,8.12
2020,2319,DeVante Parker,2020DeVante Parker,WR,,16,129.8,8.11
2020,4351,Tim Patrick,2020Tim Patrick,WR,JAX,16,129.7,8.11
2020,3678,Wil Lutz,2020Wil Lutz,K,DEN,16,129,8.06
2020,1110,T.Y. Hilton,2020T.Y. Hilton,WR,,16,128.7,8.04
2020,6130,Devin Singletary,2020Devin Singletary,RB,NYG,16,128.6,8.04
2020,184,Adrian Peterson,2020Adrian Peterson,RB,,16,128,8
2020,5012,Mark Andrews,2020Mark Andrews,TE,BAL,14,127.6,9.11
2020,6783,Jerry Jeudy,2020Jerry Jeudy,WR,CLE,16,127.6,7.97
2020,1386,Giovani Bernard,2020Giovani Bernard,RB,,16,127.1,7.94
2020,1433,Brandon McManus,2020Brandon McManus,K,GB,15,127,8.47
2020,4227,Harrison Butker,2020Harrison Butker,K,KC,16,126,7.88
2020,6904,Jalen Hurts,2020Jalen Hurts,QB,PHI,16,125.44,7.84
2020,5844,T.J. Hockenson,2020T.J. Hockenson,TE,MIN,16,125.3,7.83
2020,3451,Ka'imi Fairbairn,2020Ka'imi Fairbairn,K,HOU,16,125,7.81
2020,4068,Mike Williams,2020Mike Williams,WR,,16,124.7,7.79
2020,4993,Mike Gesicki,2020Mike Gesicki,TE,CIN,16,123.3,7.71
2020,2251,Logan Thomas,2020Logan Thomas,TE,,16,122.62,7.66
2020,538,Emmanuel Sanders,2020Emmanuel Sanders,WR,,14,120.3,8.59
2020,6528,Joey Slye,2020Joey Slye,K,TEN,16,119,7.44
2020,1348,Dustin Hopkins,2020Dustin Hopkins,K,,16,119,7.44
2020,4464,Nick Mullens,2020Nick Mullens,QB,JAX,14,118.78,8.48
2020,4951,DJ Chark,2020DJ Chark,WR,,16,118.6,7.41
2020,650,Nick Folk,2020Nick Folk,K,NYJ,16,118,7.38
2020,947,Julio Jones,2020Julio Jones,WR,,16,117.6,7.35
2020,515,Rob Gronkowski,2020Rob Gronkowski,TE,,16,117.3,7.33
2020,5086,Marquez Valdes-Scantling,2020Marquez Valdes-Scantling,WR,PIT,16,117.3,7.33
2020,6814,Laviska Shenault,2020Laviska Shenault,WR,,16,116.1,7.26
2020,59,Mason Crosby,2020Mason Crosby,K,,16,116,7.25
2020,3200,Sterling Shepard,2020Sterling Shepard,WR,TB,12,116,9.67
2020,4149,Jamaal Williams,2020Jamaal Williams,RB,,15,114.6,7.64
2020,6943,Gabe Davis,2020Gabe Davis,WR,BUF,16,113.9,7.12
2020,6149,Darius Slayton,2020Darius Slayton,WR,NYG,16,113.5,7.09
2020,4950,Christian Kirk,2020Christian Kirk,WR,HOU,15,112.9,7.53
2020,4622,Keelan Cole,2020Keelan Cole,WR,,16,110.9,6.93
2020,3969,Leonard Fournette,2020Leonard Fournette,RB,,16,110,6.88
2020,110,Stephen Gostkowski,2020Stephen Gostkowski,K,,15,109,7.27
2020,5890,Damien Harris,2020Damien Harris,RB,,12,108.3,9.03
2020,5230,Michael Badgley,2020Michael Badgley,K,IND,16,108,6.75
2020,4144,Jonnu Smith,2020Jonnu Smith,TE,PIT,16,107.7,6.73
2020,4973,Hayden Hurst,2020Hayden Hurst,TE,,16,107.6,6.72
2020,17,Matt Prater,2020Matt Prater,K,BUF,16,107,6.69
2020,1029,Nick Foles,2020Nick Foles,QB,,16,106.68,6.67
2020,5947,Jakobi Meyers,2020Jakobi Meyers,WR,LV,16,106.52,6.66
2020,6938,Cam Akers,2020Cam Akers,RB,MIN,15,106.3,7.09
2020,5967,Tony Pollard,2020Tony Pollard,RB,TEN,16,106.2,6.64
2020,7090,Darnell Mooney,2020Darnell Mooney,WR,ATL,16,106.1,6.63
2020,616,Jimmy Graham,2020Jimmy Graham,TE,,16,105.6,6.6
2020,4319,Zach Pascal,2020Zach Pascal,WR,,16,104.9,6.56
2020,2161,Jerick McKinnon,2020Jerick McKinnon,RB,,16,104.2,6.51
2020,1974,Cody Parkey,2020Cody Parkey,K,,15,103,6.87
2020,5857,Noah Fant,2020Noah Fant,TE,CIN,16,102.8,6.42
2020,6845,Zack Moss,2020Zack Moss,RB,,16,102.6,6.41
2020,2588,Malcolm Brown,2020Malcolm Brown,RB,,16,102.1,6.38
2020,3214,Hunter Henry,2020Hunter Henry,TE,NE,14,100.8,7.2
2020,232,Frank Gore,2020Frank Gore,RB,,15,100.7,6.71
2020,367,Jared Cook,2020Jared Cook,TE,,16,100.4,6.28
2020,49,Robbie Gould,2020Robbie Gould,K,,15,100,6.67
2020,2118,Eric Ebron,2020Eric Ebron,TE,PIT,15,98.3,6.55
2020,5001,Dalton Schultz,2020Dalton Schultz,TE,HOU,16,98,6.12
2020,4454,Kendrick Bourne,2020Kendrick Bourne,WR,SF,15,97.2,6.48
